2021-12-22 16:29:08: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:28:05: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:28:51: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:29:01: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:35:42: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:36:24: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:36:31: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:50:38: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:51:23: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:51:34: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:58:04: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:58:42: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
2021-12-24 10:58:50: HttpSecurityService: name=com.haulmont.thesis.web.auth.JespaAuthProvider, http.parameter.username.name=null, http.parameter.password.name=null, http.parameter.logout.name=null, http.parameter.anonymous.name=anon, fallback.location=null, excludes[], groupsDenied[], groupsAllowed[], propertiesPath=null
